Date,Region,Produit,Unites,Prix_Unitaire,Revenu,Cout,Profit
2025-01-05,Nord,Souris sans fil,17,19.02,323.34,248.41,74.93
2025-01-05,Est,Casque audio,22,120.42,2649.24,1683.24,966.0
2025-01-06,Nord,Webcam HD,18,82.51,1485.18,1159.3,325.88
2025-01-07,Est,Souris sans fil,22,29.36,645.92,390.98,254.94
2025-01-08,Est,Clavier mecanique,13,79.74,1036.62,624.72,411.9
2025-01-11,Ouest,Souris sans fil,23,15.18,349.14,223.3,125.84
2025-01-11,Est,Casque audio,12,36.03,432.36,298.83,133.53
2025-01-17,Est,Ordinateur portable,18,932.79,16790.22,12604.31,4185.91
2025-01-19,Sud,Casque audio,22,174.8,3845.6,3118.44,727.16
2025-01-19,Nord,Ecran 27 pouces,19,257.3,4888.7,4151.62,737.08
2025-01-19,Ouest,Souris sans fil,19,20.59,391.21,318.06,73.15
2025-01-20,Ouest,Ecran 27 pouces,30,183.93,5517.9,3613.66,1904.24
2025-01-20,Est,Souris sans fil,16,18.48,295.68,241.33,54.35
2025-01-20,Sud,Souris sans fil,12,41.47,497.64,413.13,84.51
2025-01-21,Est,Ecran 27 pouces,7,265.95,1861.65,1221.44,640.21
2025-01-21,Nord,Ordinateur portable,22,725.37,15958.14,12625.92,3332.22
2025-01-22,Ouest,Ordinateur portable,5,902.86,4514.3,3650.41,863.89
2025-01-23,Ouest,Casque audio,25,48.72,1218.0,698.69,519.31
2025-01-25,Sud,Souris sans fil,40,34.17,1366.8,939.17,427.63
2025-01-25,Sud,Webcam HD,29,27.88,808.52,501.53,306.99
2025-01-26,Est,Ecran 27 pouces,37,318.1,11769.7,7197.9,4571.8
2025-01-27,Est,Souris sans fil,5,18.42,92.1,61.73,30.37
2025-01-27,Est,Casque audio,7,76.87,538.09,389.24,148.85
2025-01-27,Ouest,Clavier mecanique,7,78.82,551.74,421.21,130.53
2025-01-28,Est,Webcam HD,32,86.37,2763.84,1605.17,1158.67
2025-01-31,Nord,Souris sans fil,27,15.95,430.65,260.11,170.54
2025-02-01,Sud,Casque audio,21,61.1,1283.1,1089.91,193.19
2025-02-02,Ouest,Souris sans fil,30,24.93,747.9,504.63,243.27
2025-02-03,Sud,Casque audio,21,161.46,3390.66,2081.15,1309.51
2025-02-04,Nord,Souris sans fil,3,41.2,123.6,91.55,32.05
